Vessel,Estimated Arrival (UTC)
NORTHERN KATTEGAT [SE],2020-08-19 12:23
YLVA [SE],2020-08-19 12:40
STENA DANICA [SE],2020-08-19 13:04
SOUND SUPPORTER [SE],2020-08-19 14:26
SILVERTARNAN [SE],2020-08-19 15:09
SVITZER TYR [FO],2020-08-19 15:16
VESTA [SE],2020-08-19 15:31
ALANA [PT],2020-08-19 16:31
DELTA PIONEER [GR],2020-08-19 17:23
PRIMULA SEAWAYS [DK],2020-08-19 18:07
FRIGGA [DK],2020-08-19 18:32
DOUBLE DIAMOND [MH],2020-08-19 21:00
MURCIA MAERSK [DK],2020-08-19 22:59
LEONTIOS H [GR],2020-08-19 23:15
YSALINE [MT],2020-08-20 02:10
FENJA [DK],2020-08-20 02:58
FREESIA SEAWAYS [DK],2020-08-20 06:03
B GAS MASTER [MT],2020-08-20 20:51
TERNSUND [DK],2020-08-20 21:34
LEOPARD [PA],2020-08-20 22:40
